server_id,time_s,reason
5,87.98744,max_conn
5,88.00156,max_conn
13,88.01514,max_conn
18,88.04335,max_conn
18,88.04515,max_conn
18,88.05019,max_conn
18,88.06571,max_conn
4,88.07654,max_conn
4,88.17181,max_conn
19,88.17374,max_conn
12,88.28984,max_conn
10,88.34540,max_conn
12,88.34926,max_conn
10,88.36653,max_conn
12,88.38057,max_conn
12,88.38459,max_conn
12,88.38586,max_conn
12,88.38641,max_conn
19,88.42348,max_conn
19,88.42569,max_conn
9,88.44787,max_conn
15,88.45409,max_conn
9,88.46054,max_conn
9,88.48112,max_conn
7,88.51806,max_conn
20,88.52905,max_conn
9,88.53292,max_conn
20,88.53348,max_conn
17,88.54320,max_conn
9,88.54483,max_conn
17,88.54779,max_conn
4,88.60329,max_conn
11,88.64590,max_conn
17,88.65924,max_conn
4,88.66661,max_conn
4,88.66939,max_conn
4,88.67017,max_conn
4,88.67596,max_conn
11,88.68344,max_conn
11,88.68804,max_conn
5,88.71625,max_conn
3,88.71996,max_conn
18,88.73008,max_conn
18,88.73106,max_conn
9,88.75113,max_conn
5,88.77361,max_conn
5,88.79787,max_conn
19,88.81473,max_conn
19,88.82063,max_conn
9,88.84620,max_conn
9,88.85663,max_conn
20,88.88325,max_conn
20,88.88793,max_conn
20,88.92039,max_conn
20,88.92700,max_conn
11,88.99909,max_conn
7,89.00589,max_conn
11,89.00611,max_conn
11,89.00732,max_conn
7,89.00895,max_conn
7,89.01608,max_conn
7,89.01617,max_conn
11,89.03541,max_conn
11,89.03980,max_conn
13,89.04882,max_conn
9,89.05082,max_conn
9,89.06486,max_conn
9,89.06820,max_conn
9,89.08914,max_conn
5,89.09576,max_conn
19,89.09680,max_conn
19,89.10214,max_conn
19,89.10390,max_conn
6,89.10859,max_conn
20,89.17837,max_conn
20,89.17868,max_conn
6,89.22313,max_conn
19,89.27002,max_conn
18,89.33429,max_conn
18,89.33815,max_conn
19,89.35881,max_conn
8,89.37401,max_conn
19,89.37515,max_conn
19,89.38302,max_conn
5,89.39284,max_conn
19,89.39671,max_conn
8,89.40000,max_conn
20,89.52844,max_conn
20,89.60777,max_conn
12,89.67427,max_conn
3,89.68075,max_conn
3,89.70250,max_conn
3,89.70257,max_conn
4,89.70676,max_conn
4,89.71603,max_conn
4,89.71713,max_conn
3,89.72082,max_conn
3,89.72221,max_conn
13,89.76985,max_conn
13,89.77207,max_conn
13,89.78351,max_conn
4,89.93954,max_conn
9,89.97152,max_conn
9,89.97974,max_conn
11,90.04199,max_conn
19,90.05895,max_conn
19,90.06057,max_conn
11,90.08530,max_conn
11,90.08900,max_conn
10,90.09209,max_conn
4,90.10956,max_conn
4,90.10964,max_conn
4,90.11853,max_conn
4,90.12517,max_conn
4,90.13335,max_conn
9,90.14828,max_conn
9,90.15464,max_conn
9,90.15683,max_conn
8,90.17808,max_conn
12,90.18488,max_conn
8,90.20233,max_conn
8,90.20517,max_conn
12,90.21181,max_conn
12,90.21753,max_conn
8,90.21898,max_conn
11,90.23799,max_conn
20,90.26940,max_conn
11,90.27954,max_conn
18,90.38720,max_conn
18,90.39372,max_conn
18,90.39590,max_conn
18,90.39666,max_conn
5,90.50948,max_conn
5,90.51047,max_conn
11,90.51293,max_conn
5,90.51321,max_conn
20,90.55349,max_conn
20,90.55927,max_conn
